adverb	key	usage	definition	type
intellectually	intellectually%4:02:00::	intellectually gifted children	in an intellectual manner	manner
intelligently	intelligently%4:02:00::	she acted intelligently in this difficult situation	in an intelligent manner	manner
intelligibly	intelligibly%4:02:00::	the foreigner spoke to us quite intelligibly	in an intelligible manner	manner
intemperately	intemperately%4:02:00::	he drank heavily	indulging excessively	
intensely	intensely%4:02:00::	he worked intensely	in an intense manner	manner
intensively	intensively%4:02:00::	he studied the snake intensively	in an intensive manner	manner
intentionally	intentionally%4:02:00::	he used that word intentionally	with intention; in an intentional manner	manner
intently	intently%4:02:00::	listened intently	with strained or eager attention	
inter_alia	inter_alia%4:02:00::	the committee recommended, inter alia, that he be promoted	among other things	
interchangeably	interchangeably%4:02:00::	these terms can be used interchangeably	in an interchangeable manner	manner
interdepartmental	interdepartmental%4:02:00::	this memo was circulated interdepartmentally	between departments	
interestingly	interestingly%4:02:01::	when he ceases to be just interestingly neurotic and...gets locked up	in an interesting manner; - Time	manner
intermediately	intermediately%4:02:00::	intermediately hot	to an intermediate degree	
interminably	interminably%4:02:00::	a theological student with whom I argued interminably	all the time; seemingly without stopping	
intermittently	intermittently%4:02:00::	intermittently we questioned the barometer	in an intermittent manner	manner
internally	internally%4:02:00::	an internally controlled environment	on or from the inside	
internationally	internationally%4:02:00::	She is internationally known	throughout the world	
interracially	interracially%4:02:00::	interracially restrictive	by race	
interrogatively	interrogatively%4:02:00::	the baby looked around curiously	with curiosity	
interrogatively	interrogatively%4:02:01::		in a questioning format	
intimately	intimately%4:02:00::	the two phenomena are intimately connected	in a close manner	manner
intimately	intimately%4:02:01::	we knew them well	with great or especially intimate knowledge	
into_the_bargain	into_the_bargain%4:02:00::	He lost his wife in the bargain	in addition; over and above what is expected	
into_the_wind	into_the_wind%4:02:00::	they flew upwind	in the direction opposite to the direction the wind is blowing	
intolerably	intolerably%4:02:00::	The percentage of lead in our drinking water is unacceptably high	to an unacceptable degree	
intolerantly	intolerantly%4:02:00::	his illiberally biased way of thinking	in a narrow-minded manner	manner
intolerantly	intolerantly%4:02:01::		in an intolerant manner	manner
intractably	intractably%4:02:00::		in an intractable manner	manner
intradermally	intradermally%4:02:00::		into the skin	
intramuscularly	intramuscularly%4:02:00::	administer the drug intramuscularly	in an intramuscular way	
intransitively	intransitively%4:02:00::	you can use the verb `drink' intransitively, without a direct object	in an intransitive manner	manner
intravenously	intravenously%4:02:00::	the patient had to be fed intravenously	in an intravenous manner	manner
intrepidly	intrepidly%4:02:00::	fearlessly, he led the troops into combat	without fear	
intricately	intricately%4:02:00::	it was elaborately spelled out	with elaboration	
intrinsically	intrinsically%4:02:00::	this statement is interesting per se	with respect to its inherent nature	
intuitively	intuitively%4:02:00::	inventors seem to have chosen intuitively a combination of explosive and aggressive sounds as warning signals to be used on automobiles	in an intuitive manner	manner
invariably	invariably%4:02:00::	constantly kind and gracious	without variation or change, in every case	
inventively	inventively%4:02:00::	Picasso's liberated shapes and excitingly applied and inventively combined colours	in an inventive manner	manner
inversely	inversely%4:02:00::	inversely related	in an inverse or contrary manner; ; - F.A.Geldard	manner
inveterate	inveterate%4:02:00::	smoking chronically	in a habitual and longstanding manner	manner
invidiously	invidiously%4:02:00::		in a manner arousing resentment	
invincibly	invincibly%4:02:00::	invincibly, the troops moved forward	in an invincible manner	manner
invisibly	invisibly%4:02:00::	these organisms enter the body invisibly	without being seen	
invitingly	invitingly%4:02:00::	she smiled at him tantalizingly	in a tantalizing manner	manner
involuntarily	involuntarily%4:02:00::	he was involuntarily held against his will	against your will	
inward	inward%4:02:00::	move the needle further inwards!	toward the center or interior	
inward	inward%4:02:01::	come in	to or toward the inside of	
inwardly	inwardly%4:02:00::	inwardly, she was raging	with respect to private feelings	
inwards	inwards%4:02:00::	move the needle further inwards!	toward the center or interior	
inwards	inwards%4:02:01::	come in	to or toward the inside of	
ipso_facto	ipso_facto%4:02:00::	ipso facto, her innocence was established	by the fact itself	
irately	irately%4:02:00::	`Get out,' he shouted irately	in an irate manner	manner
ironically	ironically%4:02:00::	she began to mimic him ironically	in an ironic manner	manner
ironically	ironically%4:02:01::	ironically, he ended up losing money under his own plan	contrary to plan or expectation	
irrationally	irrationally%4:02:00::	they acted irrationally	in an irrational manner	manner
irregardless	irregardless%4:02:00::		regardless; a combination of irrespective and regardless sometimes used humorously	
irregularly	irregularly%4:02:00::	her letters arrived irregularly	in an irregular manner	manner
irregularly	irregularly%4:02:01::	the patient is breathing irregularly	in an irregular manner	manner
irregularly	irregularly%4:02:02::	the stomach mucosa was irregularly blackened	in an irregular manner	manner
irregularly	irregularly%4:02:03::	irregularly shaped solids	having an irregular form	
irrelevantly	irrelevantly%4:02:00::	suddenly and irrelevantly, she asked him for money	in an irrelevant manner	manner
irreparably	irreparably%4:02:00::		in an irreparable manner or to an irreparable degree	manner
irreproachably	irreproachably%4:02:00::	she had lived blamelessly until she met this man	in an irreproachable and blameless manner	manner
irresistibly	irresistibly%4:02:00::	the candy looked overwhelmingly desirable to the dieting man	incapable of being resisted	
irresolutely	irresolutely%4:02:00::		lacking determination or decisiveness	
irrespective	irrespective%4:02:00::	he carried on regardless of the difficulties	in spite of everything; without regard to drawbacks	
irresponsibly	irresponsibly%4:02:00::	he acted irresponsibly	in an irresponsible manner	manner
irretrievably	irretrievably%4:02:00::	it is irretrievably lost	in an irretrievable manner	manner
irreverently	irreverently%4:02:00::	the student irreverently mimicked the teacher in his presence	without respect	
irreverently	irreverently%4:02:02::	in the seventeenth century England had known fifty years of doctrinal quarrels and civil war; clergymen had been turned from their cures, and churches irreverently used	in an irreverent manner	manner
irreversibly	irreversibly%4:02:00::	this old tradition is irreversibly disappearing	in an irreversible manner	manner
irrevocably	irrevocably%4:02:00::		in an irrevocable manner	manner
irritably	irritably%4:02:00::	she had become irritably exact	in an irritable manner	manner
irritably	irritably%4:02:01::	he said testily; `Go away!'	in a petulant manner	manner
irritatingly	irritatingly%4:02:00::		in an irritating manner	manner
isotropically	isotropically%4:02:00::		in an isotropic manner	manner
item	item%4:02:00::	a length of chain, item a hook	(used when listing or enumerating items) also; -Philip Guedalla	
jaggedly	jaggedly%4:02:00::	a long beard, raggedly cut	with a ragged and uneven appearance	
jarringly	jarringly%4:02:00::	the piano was jarringly out of tune	in a manner that jars and irritates	
jauntily	jauntily%4:02:00::	his hat sat jauntily on his full brown hair	in a jaunty fashionable manner	manner
jealously	jealously%4:02:00::	he guarded his privacy jealously	with jealousy	
jealously	jealously%4:02:01::	he looked at his friend's new car jealously	with jealousy; in an envious manner	manner
jeeringly	jeeringly%4:02:00::		in a disrespectful jeering manner	manner
jejunely	jejunely%4:02:00::	his teenage son still behaves very immaturely	in an immature manner	manner
jerkily	jerkily%4:02:00::	She rose stiffly, jerkily from the window seat	with jerking motions	
jerkily	jerkily%4:02:01::	the mouth was slightly open, and jerked violently and spasmodically at one corner	with spasms	
jestingly	jestingly%4:02:00::	I asked him jokingly whether he thought he could drive the Calcutta-Peshawar express	in jest	
jocosely	jocosely%4:02:00::	they tried to deal with this painful subject jocularly	with humor	
jocular	jocular%4:02:00::	they tried to deal with this painful subject jocularly	with humor	
jointly	jointly%4:02:00::	our salaries put together couldn't pay for the damage	in conjunction with; combined	
jointly	jointly%4:02:02::	this paper was written jointly	in collaboration or cooperation	
jokingly	jokingly%4:02:00::	I asked him jokingly whether he thought he could drive the Calcutta-Peshawar express	in jest	
jokingly	jokingly%4:02:01::	I meant it facetiously	not seriously	
